Year,Age 9 ,Age 13,Age 17
1971,207.582618,255.1867238,285.1752193
1975,210.0421869,255.936907,285.5898573
1980,215.0365499,258.4702165,285.4845722
1984,210.887552,257.1174741,288.8075776
1988,211.8483574,257.4700194,290.0976853
1990,209.1624224,256.7743513,290.2117512
1992,210.523521,259.7948922,289.7364266
1994,211.020254,257.876678,288.1437321
1996,212.4532765,257.9235756,287.6128709
1999,211.7475081,259.4207302,287.7594397
20041,218.6750779,258.6886018,284.7267371
20042,215.6526044,256.7275009,282.695626
2008,220.0646875,259.6663227,285.8426657
2012,220.7594565,262.8017915,286.8856483
2020,219.6761382,260.0739959,